difficulty,stim_end
52,0.1
52,0.3
52,0.5
52,0.75
52,1
52,3
52,5
52,7
52,0.1
52,0.3
52,0.5
52,0.75
52,1
52,3
52,5
52,7
52,0.1
52,0.3
52,0.5
52,0.75
52,1
52,3
52,5
52,7
52,0.1
52,0.3
52,0.5
52,0.75
52,1
52,3
52,5
52,7
52,0.1
52,0.3
52,0.5
52,0.75
52,1
52,3
52,5
52,7
52,0.1
52,0.3
52,0.5
52,0.75
52,1
52,3
52,5
52,7
52,0.1
52,0.3
52,0.5
52,0.75
52,1
52,3
48,0.1
48,0.3
48,0.5
48,0.75
48,1
48,3
48,5
48,7
48,0.1
48,0.3
48,0.5
48,0.75
48,1
48,3
48,5
48,7
48,0.1
48,0.3
48,0.5
48,0.75
48,1
48,3
48,5
48,7
48,0.1
48,0.3
48,0.5
48,0.75
48,1
48,3
48,5
48,7
48,0.1
48,0.3
48,0.5
48,0.75
90,0.3
90,0.5
90,0.75
80,0.3
80,0.5
10,0.3
10,0.5
10,0.75
20,0.5
20,0.75
